,,,,YY/MO/DA,,kg/unit,,mm,kg/m3,,kgCO2e,/kg,Region,Global,,,,,kgCO2e,,,,,/kg,,kgCO2e,,,,,kgCO2e,,,,,,,,,%,years,,,,,,,,,,,,%,%,,%,%,%,,,,,,,%,%,%,%,,%,,,Region,Global,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARPET TILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellBAC Comfort Print (Isograd),Milliken,Nordic Stories ,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,31.20%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Landscape),Milliken,Coastline,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,31.20%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,,,,
WellBAC Comfort Print (Navigator),Milliken,Topography 2.0,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,31.20%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Print (Patina),Milliken,Patina,https://origin.build/#/material/100351409,3/23/23,,2.744,kg/m2,,,A1-A3,5.175,/kg,26.80%,,100.00%,,,,,,,,,,,14.2,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,20%,20%,100%,,80%,80%,50%,50%,0%,0%,10%,,,,,,,,100%,,100%,,100%,76.00%,75.30%,55.60%,,7th,,,,,
WellBAC Comfort Plus Print (Dissident),Milliken,Dissident & Fringe ,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,35%,35%,100%,,80%,80%,57.50%,57.50%,0%,0%,17.50%,,,,,,,,100%,,100%,,100%,76.00%,77.80%,60.80%,,4th,,Missing PID?,,,
WellBAC Comfort Plus Print (Effect),Milliken,Consequence 2.0,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,35%,35%,100%,,80%,80%,57.50%,57.50%,0%,0%,17.50%,,,,,,,,100%,,100%,,100%,76.00%,77.80%,60.80%,,4th,,Missing PID?,,,
WellBAC Comfort Plus Print (Invisible Field),Milliken,Momentum 2.0 ,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,Missing PID?,,,
WellBAC Comfort Plus Print (Laid Bare),Milliken,Comfortable Concrete,https://origin.build/#/material/100351407,3/23/23,,3.118,kg/m2,,,A1-A3,4.747,/kg,134.90%,,100.00%,,,,,,,,,,,14.8,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,25%,25%,100%,,80%,80%,52.50%,52.50%,0%,0%,12.50%,,,,,,,,100%,,100%,,100%,76.00%,76.20%,57.30%,,6th,,Missing PID?,,,
WellBAC Comfort SDN Recycled Yarn (Metallic Joinery),Milliken,Fine Detail,https://origin.build/#/material/100351412,3/23/23,,2.744,kg/m2,,,A1-A3,3.375,/kg,47.00%,,100.00%,,,,,,,,,,,9.26,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,35%,35%,100%,,80%,80%,57.50%,57.50%,0%,0%,17.50%,,,,,,,,100%,,100%,,100%,76.00%,77.80%,60.80%,,4th,,,,,
WellBAC Comfort SDN Recycled Yarn (Alloy),Milliken,Heavy Meta,https://origin.build/#/material/100351412,3/23/23,,2.744,kg/m2,,,A1-A3,3.375,/kg,47.00%,,100.00%,,,,,,,,,,,9.26,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,30%,30%,100%,,80%,80%,55%,55%,0%,0%,15%,,,,,,,,100%,,100%,,100%,76.00%,77.00%,59.00%,,5th,,,,,
WellBAC Comfort SDN Recycled Yarn (Burned),Milliken,Surface Study,https://origin.build/#/material/100351412,3/23/23,,2.744,kg/m2,,,A1-A3,3.375,/kg,47.00%,,100.00%,,,,,,,,,,,9.26,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,30%,30%,100%,,80%,80%,55%,55%,0%,0%,15%,,,,,,,,100%,,100%,,100%,76.00%,77.00%,59.00%,,5th,,,,,
WellBAC Function SDN Recycled Yarn (Elements),Milliken,Cornerstone,https://origin.build/#/material/100351668,3/23/23,,2.927,kg/m2,,,A1-A3,3.177,/kg,47.60%,,100.00%,,,,,,,,,,,9.3,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Aida),Milliken,Variations 2.0,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Classic Dark),Milliken,Design Designations ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Concrete),Milliken,Building Blocks ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Fades),Milliken,Hues,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
WellBAC Function SDN (Forest Rain),Milliken,Nature Supply ,https://origin.build/#/material/100351669,3/23/23,,2.927,kg/m2,,,A1-A3,5.432,/kg,152.40%,,100.00%,,,,,,,,,,,15.9,/m2,,,,,,,,,,China,EPD,,,15,2026.01.01,,,,,,10%,10%,100%,,80%,80%,45%,45%,0%,0%,5%,,,,,,,,100%,,100%,,100%,76.00%,73.70%,52.20%,,8th,,Missing PID?,,,
